Unique ID,Name,Title,Company,Description,Tag,TagQID,FacetOf,FacetOfQID,Slides URL,Video URL
,Andriy Nikolov,Biological Insights Knowledge Graph to help drug development,AstraZeneca,The use of knowledge graphs as a data source for machine learning methods to solve complex problems in life sciences has rapidly become popular in recent years. Our Biological Insights Knowledge Graph (BIKG) combines relevant data for drug development from more than 50 public as well as internal data sources to provide insights for a range of tasks: from identifying new targets to repurposing existing drugs. In our case study presentation we are going to discuss our solutions to challenges of building an integrated knowledge graph from diverse sources as well as present two illustrative use case studies exploiting graph data to produce recommendations for domain experts: identifying candidate genes responsible for drug resistance in CRISPR screens and finding promising drugs for repurposing,"KG, Data Source, ML Methods, Complex Problems, Life Sciences, Biological Insights Knowledge Graph(BIKG), Drug Development, Repurpose, Integrated KG, Diverse Sources, Drug Resistance, CRISPR",,,,https://zenodo.org/record/4876647#.YO9XeTOSlhE,Andriy Nikolov | Biological Insights: Knowledge Graph Ti Help Drug Development - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Antonin Delpeuch,Scaling and maintaining OpenRefine,"U. of Oxford, Code for Science and Society","OpenRefine is a data wrangling tool that celebrated its 10th birthday this year. Cleaning and importing data in knowledge graphs is its core use case since it was originally designed to help populate Freebase. In this talk, I want to give a broad overview of the latest developments in the tool and our efforts to consolidate it as a mature open source project. Please come along and tell us where you would like to see the tool in a few years!","Data Wrangling, Cleaning, Importing, Open Source, Freebase",,,,Scaling and maintaining OpenRefine | Zenodo,Antonin Delpeuch | Scaling & Maintaining OpenRefine - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Arthur Peters,,,,,,,,No presentation slides,No video
,Ashleigh Faith,,EBSCO Information Services,,,,,,No presentation slides,No video
,Atanas Kirakov,Knowledge Graph Magic Map: Capabilities and Partners,Ontotext,"Ontotext teams up with portfolio partners to offer a complete platform with best-of-breed tools for schema and taxonomy editing; data transformation and linking; access control and federation; data updates and validation; search and visualization. The ecosystem also includes global and regional delivery partners. And an overview of GraphDB updates over the last year: JDBC access to graph data; virtualization of SQL sources and performance breakthroughs, benchmarked against AWS Neptune.","Ontotext, Schema, Taxonomy, Data Transformation, Linking, Access Control, Federation, Data Updates, Validation, Search, Visualization, GraphDB, SQL, JDBC, ",,,,No presentation slides,Atanas Kirakov | Knowledge Graph Magic Map: Capabilities & Partners - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Barr Moses,Data Observability: The Next Frontier of Data Engineering,Monte Carlo,"To keep pace with data’s clock speed of innovation, data engineers need to invest not only in the latest modeling and analytics tools, but also technologies that can increase data accuracy and prevent broken pipelines. The solution? Data observability, the next frontier of data engineering. I'll discuss why data observability and lineage matter to building a better data quality strategy and tactics best-in-class organizations use to address it -- including org structure, culture, and technology.","Data Engineer, Modeling, Analytical Tools, Data Accuracy, Data Observability, Data Quality",,,,Data Observability: The Next Frontier of Data Engineering | Zenodo,Barr Moses | Data Observability: The Next Frontier Of Data Engineering - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Ben De Meester,PROV4ITDaTa: Flexible KG generation within reach (tool presentation),IDLab - Ghent University - imec,"Personal Knowledge Graph generation is no longer a cumbersome technical endeavor. PROV4ITDaTa is an MIT open-source platform to provide a smooth user experience for generating knowledge graphs from your online web services, such as Google, Flickr, and Imgur, into your personal data space. This brings your personal data back under your control, and as a graph, its true interlinking potential is unleashed. PROV4ITDaTa allows to configure and set up a web application where users can easily pick one or more web services to extract their data from, transform that data into best-practice knowledge graphs, and push those graphs to a personal data space, such as a Solid pod. All heavy lifting is included in PROV4ITData: management of service authentication (e.g., OAuth 1.0/2.0 sessions), setting up the infrastructure to extract and transform your personal data from popular web services, directly loading those graphs into your personal data space, and generating a simple user interface. Developers only need to focus on providing custom connectors to more specialized web services and configuring the data processing pipeline to generate knowledge graphs into any needed form or shape. The data processing pipeline is based on RML.io, meaning that it is extensible to any data source, can integrate multiple data sources on the fly, includes data cleansing functions, supports any RDF graph structure and ontology, and its configuration is fully declarative. The pipelines are thus more maintainable and more transparent than hard-coded solutions such as the Data Transfer Project (DTP). Where existing platforms such as DTP provide one-to-one data transfer, PROV4ITDaTa enables extensible many-to-many data processing pipelines, beyond the web services and (personal) data spaces we currently provide. All these features can easily be included in the PROV4ITDaTa platform and will be showcased during the presentation. As a result, developers can more easily support custom web services. As users can generate personal knowledge graphs faster and easier, more knowledge graph applications can be built that rely on real-world data. With a click of a button, users can try out knowledge graph applications using their actual data from music streaming systems, fitness apps, address books, social media, etc. Continuing this product, we are building a data processing workbench, where these different data processing pipeline configurations can be managed, scheduled, and orchestrated, giving companies more control, and allowing to upscale PROV4ITData more easily.","KG Generation, PROV4ITData, Open-source, Personal Data, Data Interlinking, Web App, Extract, Transform, Data PipeLine, Integrate, Extensible, Data Cleansing, Many-To-Many,",,,,https://zenodo.org/record/4876645#.YPBHXT2SlhE,https://knowledgegraphconference.vhx.tv/packages/kgc-21-attendees/videos/ben-de-meester-prov4itdata-flexible-knowledge-graph-generation-within-reach
,Ben Lorica,,,,,,,,No presentation slides,No video
,Ben Szekely,Think Big: How to Build Enterprise Scalability into a Knowledge Graph Platform,Cambridge Semantics,"In recently naming graph technology one of their top 10 trends data and analytic trends for 2021, the Gartner Group highlighted an emerging pattern: today an ever-increasing number of F1000 organizations are implementing graph technology not to address point graph use cases, but rather data integration and analytics use cases through enterprise-scale knowledge graph platforms. The data diversity, complexity and volume inherent within these initiatives places scalability and functional demands on the underlying knowledge graph technology- far beyond what has typically been required in the past. In this session, we will explore the specific challenges associated with deploying a knowledge graph at enterprise space with a special focus in six key areas: 1. Data Source Diversity 2. Performance and Efficiency 3. Deployment Flexibility 4. Interactive Querying 5. Ease of Use 6. Security","Scalability, Data Source Diversity, Performance, Efficiency, Deployment Flexibility, Interactive Querying, Ease of Use, Security",,,,No Presentation slides,Ben Szekley | How To Build Enterprise Scalability Knowledge Graph Platforms - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Benjamin Cogrel,Integrating Data Through Virtual Knowledge Graphs with Ontop,,"Recently, knowledge graphs have been successfully deployed to overcome the typical difficulties in accessing and integrating data stored in different kinds of sources. In particular, in the Virtual Knowledge Graph (VKG) approach, data is presented in the form of a graph, which is mapped to the underlying data sources, and query answering is based on advanced query transformation techniques. In this tutorial we illustrate the principles underlying the VKG approach, providing an overview of well-established algorithms and techniques, and we discuss relevant use-cases using VKGs. We also provide a step-by-step hands-on session, where participants can experiment on their own with the discussed technologies using the open-source VKG system Ontop and other open-source tools.",,,,,No Presentation slides,Integrating Data through Virtual Knowledge Graphs with Ontop - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Bernhard Krabina,Semantic MediaWiki as Knowledge Graph Interface,KDZ - Centre for Public Administration Research,"Semantic MediaWiki (SMW), which was introduced as early as in 2006, has since gone on to establish a vital community and is currently one of the few semantic wiki solutions still in existence. SMW is an extension of MediaWiki, the software used for Wikipedia and many other projects, resulting in a largely sustainable codebase and ecosystem. There are many reasons why SMW should not be overlooked by the knowledge graph community: -SMW is capable of directly connecting to several triple stores (Blazegraph, Virtuoso, Jena), which is why it can be considered an interface for entering data into knowledge graphs. -	SMW can use its internal relational database (or ElasticSearch), enabling users to build simple knowledge graphs without in-depth knowledge about triple stores. -SMW has the built-in capability of exporting to RDF including building complete RDF data dumps that can be imported into existing knowledge graphs. -	SMW has the capability to reuse existing ontologies by importing vocabularies and providing unique identifiers. -The explicit semantic content of Semantic MediaWiki is formally interpreted in the OWL DL ontology language and is made available in XML/RDF format. -	A simple internal query language is available to query the internal knowledge graph from within SMW, without the requirement of having a SPARQL endpoint. However, extensions for implementing SPARQL in SMW are available as well. -SMW has the capability to enable data curation for experienced users responsible for the ontology as well as simple form-based input for regular users that can easily populate the KG with data. -There are several approaches to visualizing data in SMW, thus making the knowledge graph visible and interactive. -Implementing custom ontologies in SMW is quite easy, everything is built-in wiki pages (e.g. definition of properties and datatypes, forms and templates). -	SMW has low barriers to implementation as it is a clean extension to MediaWiki, which is PHP software running on regular web hosts. -In the talk, I will give an overview of the mentioned aspects and highlight some main differences to Wikibase – which is an alternative approach for managing structured data in MediaWiki – as well as the current limitations of SMW.","Codebase, Data Entry Interface, Semantic MediaWiki (SMW), Triple Store, KG, Export to RDF, Reuse, SPARQL, Data Curation, Data Vizulation, PHP, ",,,,Semantic MediaWiki as Knowledge Graph Interface | Zenodo,Bernhard Krabina | Semantic MediaWiki As Knowledge Graph Interface - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Bogdan Sacaleanu,Knowledge Graphs for Social Good,,"This workshop establishes a bridge for researchers from industry and academia who are working on positive social impact in accordance with priorities outlined in the Sustainable Development Goals (SDGs). The workshop targets practitioners of knowledge graphs methods, related domain SMEs, and anyone working to leverage knowledge graphs for social good. We are proposing an applied research-based workshop that will show how businesses, social scientists, the public sector and academia use knowledge graphs to have a positive social impact. The efforts include various kinds of problems they are solving, bottlenecks they have, and insights they are gathering. This workshop can also be an excellent place to identify and find projects/researchers for future collaboration.","Social Good, Sustainable Development Goals, Semantics, Semantic Graph",,,,No Presentation slides,Knowledge Graphs for Social Good - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Bojan Bozic,Modeling Sustainability,,"This presentation will introduce and detail the current work of the W3C Dataset Exchange Working Group, including detail of the developments in the DCAT (Data Catalog) vocabulary and the proposal for content negotiation by profile (ConnegP) which is being developed by the working group in conjunction with the IETF. Peter will also include suggestions for how to use DCAT and discuss the types of problems that content negotiation by profile might help with.",,,,,No Presentation slides,Modeling Sustainability - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Boris Pelakh,W3C Dataset Exchange Group - Current work and implementation suggestions,Semantic Arts,"This presentation will introduce and detail the current work of the W3C Dataset Exchange Working Group, including detail of the developments in the DCAT (Data Catalog) vocabulary and the proposal for content negotiation by profile (ConnegP) which is being developed by the working group in conjunction with the IETF. Peter will also include suggestions for how to use DCAT and discuss the types of problems that content negotiation by profile might help with.","W3C Dataset Exchange Working Group, DCAT (Data Catalog),  Content Negotiation by Profile (ConnegP), IETF",,,,W3C Dataset Exchange Group - Current work and implementation suggestions | Zenodo,Peter Winstanley & Boris Pelakh | W3C Dataset Exchange Group - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Branimir Rakic,Knowledge Economy tools based on the OriginTrail Decentralized Knowledge Graph,Trace Labs and OriginTrail,"Knowledge graphs are powerful tools used by organizations to integrate their siloed data into useful, machine-readable information for a wide range of purposes. The OriginTrail Decentralized Knowledge Graph (DKG) extends this approach to enable trusted knowledge exchange between multiple organizations, marrying knowledge graph technology with DLT and blockchain frameworks to enable 4 Is - interoperability, interconnectivity, integrity and incentivization. Based on W3C and GS1 standards, the open-source OriginTrail DKG is hosted on the OriginTrail Decentralized Network, operated by hundreds of organizations and individuals around the globe and built to utilize a multitude of blockchains such as Ethereum and Polkadot. In 2021, the DKG is being extended with tools such as trusted knowledge tokens, knowledge wallets, knowledge marketplaces and knowledge tenders to enable incentivized, trusted knowledge exchange, which will together with the OriginTrail DKG be presented during the talk at Knowledge Graph Conference 2021","Integrate Siloed Data, Decentralized Knowledge Graph (DKG), DLT, Blockchain Framework, W3C & GS1 Standards, Open-Source, Knowledge Tokens",,,,OriginTrail Decentralized Knowledge Graph | Zenodo,Branimir Rakic | OriginTrail: Decentralized Knowledge Graph - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Brian Rubinton,Paths to More Personal and Collaborative Knowledge Graphs,,,,,,,,
,Cedric Berger,Data Governance 4.0 applied to a Unified Clinical Data Model,Novartis,"Driven by legacy paper-based approaches, the design, conduction and analysis of clinical studies requires the creation and transformation of many data in many different formats. This hinders the process and necessitates significant resources. Having metadata-driven transformation is not new, however, adoption of standards (.e.g CDISC) has not shown yet its full added value. We propose to extend this metadata-driven approach beyond CDISC standards from the writing of the unstructured clinical study protocol to submission of the clinical study report to health authorities. By sharing and reusing metadata end-to-end of the drug development critical path, we shorten and automate key tasks hence improving the efficiency of the overall process.","Legacy Paper-Based Approach, Clinical Studies, Unified Clinical Data Model, Data Format Transformation, Metadata, Health Authorities, Sharing,  Reusing,  Drug Development, Automate Key Tasks",,,,Data Governance 4.0 applied to a Unified Clinical Data Model | Zenodo,Shekhar Iyer | Multi-Modal Retrieval Over Knowledge Graphs - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Chaitanya Baru,Open Knowledge Network,National Science Foundation,"The concept of an Open Knowledge Network (OKN) is one of the components of the National Science Foundation’s Harnessing the Data Revolution (HDR) Big Idea, with the objective of providing semantic information infrastructure. By encoding information and knowledge about real-world entities and their relationships, the OKN would enable next generation artificial intelligence-based technologies and applications, focusing in particular on science and engineering information. While large-scale knowledge networks have been deployed in services like Google Search, Amazon catalogs, Apple Siri, Microsoft Cortana, and WolframAlpha, an open effort would expand this approach, enabling discovery of non-trivial information from multiple disparate knowledge sources for thousands of new topic areas in scientific and engineering information. With this objective in mind, the NSF Convergence Accelerator announced a “track” on the Open Knowledge Network (Track A) in 2019. Twenty-one projects were funded in Phase I in 2019 and five were funded in Phase II in 2020. Multidisciplinary, multi-sector teams in these projects are addressing a range of issues including, programming environments for knowledge network creation, making hidden/implied geospatial information explicit in knowledge graphs, and encoding information in specific domains, viz. urban flooding, biomedicine, and court records. This talk will provide an overview of the NSF Convergence Accelerator program and the Open Knowledge Network activities.","Open Knowledge Network (OKN), National Science Foundation (NSF), Harnessing the Data Revolution (HDR), Semantic Information Infrastructure, AI Technologies, Multi-Sector, Knowledge Graphs",,,,Open Knowledge Network | Zenodo,Panel Discussion | OKN - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,chandrasekhar Iyer,Multi-Modal retrieval over Knowledge Graphs,"Recent Advances in representation learning and application of Deep Neural Nets towards structured data and Knowledge Graphs (KG) is enabling opportunities for multi-modal representation of entities and relations. We can now aspire to build access to data encoded in knowledge Graphs through one of many modalities (image, audio, text or video) and also train joint representations to cross over from one modality to another (e.g. text-to-image, audio-to-text). These kinds of capabilities allow us to build applications that can use entity information in entirely new ways, to exploit the sensors available in modern multi-modal devices like glasses, watches, smart earphones etc... These contextually aware smart devices provide a better model for the users to interact with the world and consequently need a more robust support from a multi-model knowledge Graph to help them contextualize the users environment. In this presentation I will talk about a retrieval architecture to support a multi-modal KG. I will also show some examples of prototypes we have built to multi-modal retrieval.",,"Multi-modal Representation, Deep Neural Nets, Entity Relationships, Cross Modality, Text to Image, Audio to Text, Contextually Aware, Retrieval Architecture, Multi-Modal Retrieval",,,,Multi-Modal retrieval over Knowledge Graphs | Zenodo,Shekhar Iyer | Multi-Modal Retrieval Over Knowledge Graphs - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Charles Ivie,A knowledge graph is more than just a graph database,Amazon,"Customer adoption of graph databases is growing rapidly and has attracted many vendors and products. Graphs, as an abstraction, are a simple and intuitive way to model information about the world. Despite this, the learning curve for building a graph-based application remains steep and daunting, as it requires the use of tooling and processes that may seem unfamiliar, even to experienced data practitioners. Most importantly, there are components other than a graph database that are needed for a knowledge graph architecture. In this presentation we discuss these components, the tooling one needs to succeed in building a knowledge graph -driven application, and we present the idea of a “data value chain"": data flowing from legacy sources, through various manipulation steps, to a graph representation, ready to be consumed.","Customer Adoption, Graph Database, Model Information, Graph Based Application, Knowledge Graph Architecture, Data Value Chain",,,,A knowledge graph is more than just a graph database | Zenodo,https://knowledgegraphconference.vhx.tv/packages/kgc-21-attendees/videos/ora-lassila
,Chen Zhang,Entity Disambiguation with Knowledge Graph,Financial Industry Regulatory Authority,"During the presentation, we will share our experience in building a knowledge graph leveraging Spark, NLP, and Machine Learning. We will start with explaining the business problems and challenges then walk through our data pipeline, including text analytics processes, name similarity solutions, street address normalization, clustering algorithms, confidence level building, etc. To finish, we will discuss the business impact and the takeaways.","Build KG, Spark, NLP, ML, Buisness Challenges, Data Pipeline, Text Analytics, Name Similarity, Address Nomalization, Clustering, Confidence Level ",,,,Entity Disambiguation with Knowledge Graph | Zenodo,Chen Zhang & Dmytro Dolgopolov | Entity Disambiguation With Knowledge Graph - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Ching-Hua Chen,Second Workshop on Personal Health Knowledge Graphs,,"Electronic health records (EHRs) have become a popular source of observational health data for learning insights that could inform the treatment of acute medical conditions. However, their utility for learning insights for informing preventive care and management of chronic conditions has remained limited. For this reason, the addition of social determinants of health (SDoH) [1] and “observations of daily living” (ODL) [2] to the EHR have been proposed. This combination of medical, social, behavioral, and lifestyle information about the patient is essential for allowing medical events to be understood in the context of one’s life and, conversely, allowing lifestyle choices to be considered jointly with one’s medical context. We propose that the personal health knowledge graph is a semantic representation of a patient’s combined medical records, SDoH, and ODLs that would be generated by both patients and their providers and be potentially useful to both for decision-making. While there are some initial efforts to clarify what personal knowledge graphs are [3] and how they may be made specific to health [4, 5], there is still much to be determined concerning how to operationalize and apply such a knowledge graph in life and clinical practice. There are challenges in collecting, managing, integrating, and analyzing the data required to populate the knowledge graph, maintaining, reasoning over, and sharing aspects of the knowledge graph. Following on the success of our inaugural workshop held at the Knowledge Graph Conference in 2020, in the second installment of this workshop, we aim to gather multiple stakeholders (health practitioners, health informaticists, knowledge engineers, and computer scientists) working on defining, building, consuming, and integrating personal health knowledge graphs. The workshop will focus on the challenges and opportunities in this nascent space with a strong focus on existing PHKG solutions.","Electronic Health Records, Social Determinants of Health, Observations of Daily Living, Personal Health Knowledge Graph, Data Integration, Data Profiling, Data Curation, Querying, Knowledge Discovery, Ontology Mapping, Machine Learning",,,,No  presentation slides,"Workshop | Personal Health Knowledge Graphs, Part 2 - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)"
